
uid,chemin_relatif,titre,type
qEFBsfvTG,AGENTS.md,AGENTS — Documentation Partagée,preuve
qhHBuUQMZ,Lois/RAPPORT_ORGANISATION_20260711.md,📋 Rapport d'Organisation des Textes Juridiques,loi
9gswuVssc,Lois/EXEMPLES_REQUETES_MCP.md,Exemples de Requêtes MCP Valides,loi
3tccjgj4V,Lois/RGPD_Articles7_9_82.md,"RGPD – Articles 7, 9 et 82",loi
pd9GxJ5vQ,Lois/CHANGELOG_JURIDIQUE.md,CHANGELOG JURIDIQUE,loi
9LmPJNfdq,Lois/README.md,⚖️ Bibliothèque Juridique,readme
9hRgLKwvp,Lois/Jurisprudence/README.md,Jurisprudence,readme
fbG7a9rnr,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/CA_Riom_20-00318.md,"CA Riom, 5 juil. 2022 (n° 20/00318)",jurisprudence
DMA6tvWcG,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/CA_Aix_22-09495.md,"CA Aix-en-Provence, 30 avr. 2026 (n° 22/09495)",jurisprudence
xiDWMdHJP,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/TJ_Nanterre_19-08999.md,"TJ Nanterre, 2025 (n° 19/08999)",jurisprudence
f9825uD3V,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/TJ_Versailles_21-04988.md,"TJ Versailles, 2024 (n° 21/04988)",jurisprudence
QZig86fU2,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/CA_Versailles_22-01019.md,"CA Versailles, 2025 (n° 22/01019)",jurisprudence
kkzfKWLL9,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/CA_Toulouse_11-03512.md,"CA Toulouse, 5 décembre 2013 (n° 11/03512)",jurisprudence
T99aDmbgE,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/CA_Lyon_21-03420.md,"CA Lyon, 17 janv. 2024 (n° 21/03420)",jurisprudence
qWY27Wghw,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/TJ_Rennes_20-05541.md,"TJ Rennes, 2026 (n° 20/05541)",jurisprudence
2wwq7jtqY,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/CA_Chambery_15-01748.md,"CA Chambéry, 2016 (n° 15/01748)",jurisprudence
QTpTPpszF,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/TJ_Nanterre_22-02447.md,"TJ Nanterre, 2024 (n° 22/02447)",jurisprudence
qkJNVrts8,Lois/Jurisprudence/Jurisprudence_du_fond_(CA-TJ)/README.md,Jurisprudence_du_fond_(CA-TJ),readme
NAaub2eNa,Lois/Jurisprudence/Mise_en_danger_d'autrui/13-80.849_CourCassation.md,"Cass. Crim., n° 13-80.849",jurisprudence
MtvgA2UA9,Lois/Jurisprudence/Mise_en_danger_d'autrui/README.md,Mise_en_danger_d'autrui,readme
i3VgmFanS,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/63-13.613_CourCassation.md,"Civ. 1re, 30 avril 1965 (n° 63-13.613)",jurisprudence
5MTNmvgjJ,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/24-17.944_CourCassation.md,Cour de cassation — 24-17.944,jurisprudence
hSPc7DNeR,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/24-21.702_CourCassation.md,"Civ. 2e, 28 mai 2026 (n° 24-21.702)",jurisprudence
Qk8nMtgju,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/89-18.422_CourCassation.md,"Civ. 2e, 13 février 1991 (n° 89-18.422)",jurisprudence
a5tMvvhZw,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/74-10.466_CourCassation.md,"Civ. 2e, 5 mai 1975 (n° 74-10.466)",jurisprudence
j8ZFMkvkf,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/91-13.580_CourCassation.md,"Civ. 2e, 25 novembre 1992 (n° 91-13.580)",jurisprudence
CAxywHfUF,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/70-12.124_CourCassation.md,"Civ. 2e, Arrêt *Leroy* (n° 70-12.124)",jurisprudence
6yY3tpTcC,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/README.md,Responsabilité_du_fait_des_choses,readme
gqNkmp8zQ,Lois/Jurisprudence/Responsabilité_du_fait_des_choses/91-15.035_CourCassation.md,"Civ. 2e, 5 mai 1993 (n° 91-15.035)",jurisprudence
z7NxBSXbb,Lois/Jurisprudence/Transaction_sous_réserve_d'aggravation/01-02.274_CourCassation.md,Cour de cassation — 01-02.274,jurisprudence
5e7NGnAze,Lois/Jurisprudence/Transaction_sous_réserve_d'aggravation/22-18.089_CourCassation.md,Cour de cassation — 22-18.089,jurisprudence
qpqZXsQwH,Lois/Jurisprudence/Transaction_sous_réserve_d'aggravation/92-13.880_CourCassation.md,Cour de cassation — 92-13.880,jurisprudence
Rxxggb7VS,Lois/Jurisprudence/Transaction_sous_réserve_d'aggravation/README.md,Transaction_sous_réserve_d'aggravation,readme
84hC2K9St,Lois/Jurisprudence/Préjudice_corporel_et_incidence_professionnelle/21-14.197_CourCassation.md,Civ. 2e (n° 21-14.197),jurisprudence
Lb6LALjHg,Lois/Jurisprudence/Préjudice_corporel_et_incidence_professionnelle/16-24.631_CourCassation.md,"Cass. Civ. 2e, n° 16-24.631",jurisprudence
VgJheLpHy,Lois/Jurisprudence/Préjudice_corporel_et_incidence_professionnelle/23-12.369_CourCassation.md,"Civ. 2e (n° 23-12.369, 23-15.102)",jurisprudence
vAUqrr4dg,Lois/Jurisprudence/Préjudice_corporel_et_incidence_professionnelle/18-17.868_CourCassation.md,Civ. 2e (n° 18-17.868),jurisprudence
eFF39RwpB,Lois/Jurisprudence/Préjudice_corporel_et_incidence_professionnelle/19-23.173_CourCassation.md,"Cass. Civ. 2e, n° 19-23.173",jurisprudence
f24dXmYnC,Lois/Jurisprudence/Préjudice_corporel_et_incidence_professionnelle/README.md,Préjudice_corporel_et_incidence_professionnelle,readme
ZCdUUHXgX,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/80-16.679_CourCassation.md,"Civ. 1re, 10 mars 1982 (n° 80-16.679)",jurisprudence
5W7b5BSsj,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/20-16.463_CourCassation.md,Cour de cassation — 20-16.463,jurisprudence
B2VNt3FQx,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/20-23.462_CourCassation.md,"Civ. 2e, 24 novembre 2022 (n° 20-23.462)",jurisprudence
XPGzcYpkq,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/90-14.591_CourCassation.md,"Civ. 1re, 8 juillet 1994 (n° 90-14.591)",jurisprudence
n4PrHgeVk,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/19-15.659_CourCassation.md,Cour de cassation — 19-15.659,jurisprudence
9NDdKZM2e,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/14-15.326_CourCassation.md,"Cass. Civ. 3e, n° 14-15.326",jurisprudence
J2PudJNuk,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/20-19.288_CourCassation.md,"Civ. 2e, 24 novembre 2022 (n° 20-19.288)",jurisprudence
sUX7FiHjQ,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/README.md,Action_directe_et_obligation_d'assurance,readme
tHALKvptJ,Lois/Jurisprudence/Action_directe_et_obligation_d'assurance/20-22.100_CourCassation.md,"Civ. 2e, 24 novembre 2022 (n° 20-22.100)",jurisprudence
nRt73vmRR,Lois/Jurisprudence/Responsabilité_des_dirigeants/11-13.384_CourCassation.md,"Civ. 1re, 4 juillet 2012 (n° 11-13.384)",jurisprudence
d9DgfUmKH,Lois/Jurisprudence/Responsabilité_des_dirigeants/97-17.378_CourCassation.md,"Cass. Ass. Plén., Arrêt Costedoat (n° 97-17.378)",jurisprudence
afWcwgFMw,Lois/Jurisprudence/Responsabilité_des_dirigeants/99-17.092_CourCassation.md,Cour de cassation — 99-17.092,jurisprudence
PnKVbHFZx,Lois/Jurisprudence/Responsabilité_des_dirigeants/README.md,Responsabilité_des_dirigeants,readme
eSJ5a5NrT,Lois/Jurisprudence/Responsabilité_des_dirigeants/11-15.699_CourCassation.md,"Cass. Com., n° 11-15.700",jurisprudence
j7WMV5grU,Lois/Jurisprudence/Réserve_d'aggravation/22-19.307_CourCassation.md,Cour de cassation — 22-19.307,jurisprudence
YbpJ6dsCd,Lois/Jurisprudence/Réserve_d'aggravation/17-26.282_CourCassation.md,"Cass. Civ. 2e, n° 17-26.282",jurisprudence
PBNPf7m59,Lois/Jurisprudence/Réserve_d'aggravation/20-15.106_CourCassation.md,Cour de cassation — 20-15.106,jurisprudence
e492H6HCj,Lois/Jurisprudence/Réserve_d'aggravation/README.md,Réserve_d'aggravation,readme
qHB7x8FbD,Lois/Jurisprudence/Responsabilité_du_commettant/80-14.994_CourCassation.md,"Cass. Ass. Plén., Arrêt Gabillet (n° 80-14.994)",jurisprudence
s4hnwxw8Y,Lois/Jurisprudence/Responsabilité_du_commettant/00-82.066_CourCassation.md,"Cass. Ass. Plén., Arrêt Cousin (n° 00-82.066)",jurisprudence
RiBLwnSwL,Lois/Jurisprudence/Responsabilité_du_commettant/README.md,Responsabilité_du_commettant,readme
iQGRwxrmb,Lois/Jurisprudence/CEDH/CEDH_Semache_c_France_36083-16.md,CEDH — Semache c. France (36083/16),jurisprudence
mjhHMskcV,Lois/Jurisprudence/CEDH/CEDH_MH_c_Croatie_15670-18.md,CEDH — M.H. et autres c. Croatie (15670/18),jurisprudence
kQVNY8bpW,Lois/Jurisprudence/CEDH/CEDH_Merabishvili_c_Georgie_72508-13.md,CEDH — Merabishvili c. Géorgie (72508/13),jurisprudence
FU9AJAwXc,Lois/Jurisprudence/CEDH/README.md,Jurisprudence CEDH,readme
yZKYmnNE5,Lois/Index/README.md,Index des Textes Juridiques,readme
QG2brHL3q,Lois/Code/README.md,Code,readme
zB8kDCUq3,Lois/Code/Code_du_travail/Article_L8271-1-2_CodeTravail.md,Code du travail — Art. L.8271-1-2,loi
ub72PYeSH,Lois/Code/Code_du_travail/Article_L8221-1_CodeTravail.md,Code du travail — Art. L.8221-1,loi
MzeGLHNMN,Lois/Code/Code_du_travail/Article_L4321-1_CodeTravail.md,Code du travail — Art. L.4321-1,loi
